date,day_of_week,is_weekend,weather,is_festival,has_promotion,dish_name,category,prepared_qty,sold_qty,wasted_qty,cost_per_unit,waste_cost
2025-01-01,Wednesday,False,cloudy,False,False,Paneer Butter Masala,main,45.5,43.7,1.8,120,212.37
2025-01-01,Wednesday,False,cloudy,False,False,Chicken Biryani,main,66.4,62.4,4.0,150,593.2
2025-01-01,Wednesday,False,cloudy,False,False,Veg Salad Bowl,starter,29.2,26.9,2.3,60,139.04
2025-01-01,Wednesday,False,cloudy,False,False,Fish Curry,main,24.9,22.1,2.7,180,492.96
2025-01-01,Wednesday,False,cloudy,False,False,Dal Tadka,main,45.0,44.7,0.2,70,15.39
2025-01-01,Wednesday,False,cloudy,False,False,Butter Naan,bread,81.5,73.5,8.0,20,159.83
2025-01-01,Wednesday,False,cloudy,False,False,Gulab Jamun,dessert,34.4,34.4,0.0,40,0.0
2025-01-01,Wednesday,False,cloudy,False,False,Tomato Soup,starter,29.2,26.8,2.4,45,108.01
2025-01-01,Wednesday,False,cloudy,False,False,Mutton Rogan Josh,main,22.2,20.9,1.3,220,293.99
2025-01-01,Wednesday,False,cloudy,False,False,Fresh Fruit Custard,dessert,28.7,23.1,5.6,55,307.46
2025-01-02,Thursday,False,hot,False,False,Paneer Butter Masala,main,39.2,36.1,3.1,120,372.5
2025-01-02,Thursday,False,hot,False,False,Chicken Biryani,main,63.4,62.5,1.0,150,146.66
2025-01-02,Thursday,False,hot,False,False,Veg Salad Bowl,starter,27.0,27.0,0.0,60,0.0
2025-01-02,Thursday,False,hot,False,False,Fish Curry,main,30.0,27.0,3.0,180,545.45
2025-01-02,Thursday,False,hot,False,False,Dal Tadka,main,47.9,47.9,0.0,70,0.0
2025-01-02,Thursday,False,hot,False,False,Butter Naan,bread,83.8,82.2,1.6,20,31.95
2025-01-02,Thursday,False,hot,False,False,Gulab Jamun,dessert,39.6,35.9,3.7,40,146.27
